tarefas,FIFO,RR,EDF,PRIORIDADE P, PRIORIDADE NP,SJF,UG,VF MED INTERVALO,VF MIN
330,2031.3215029310916,2737.4837968793368,2324.196757762085,2324.196757762085,2053.930694857895,1245.6607398260471,2237.788141808038,1430.0281499416983,1425.1076652253942
244,1435.3204731316614,1775.6072385276316,1640.471810100294,1640.471810100294,1388.2224144415434,808.1914219582465,1503.2897616059524,933.7779592241712,931.7733554252934
341,1916.340328406028,2501.8036873667384,2152.8771775983,2152.8771775983,1975.2438456101324,1141.9913911548224,2147.616203485782,1310.9218256781037,1308.1084440600146
406,2656.123677217776,3413.523525961132,2912.9518756927305,2912.9518756927305,2478.598753614128,1563.242000054187,2687.3607045936806,1781.9816161029116,1776.2814166536205
296,1881.7946516438333,2343.9759599889762,2150.080514795878,2150.080514795878,1967.6146888282856,1064.4985464805584,2143.1856639109506,1231.1893625103019,1228.0275183735157
337,1795.259167015486,2216.2575213816,2081.0181460791227,2081.0181460791227,1820.5348997329813,1010.6910976121172,1976.1631824998497,1161.1458932435123,1158.5439199139034
408,2433.7154510139894,3209.0098092771937,2833.3450924227427,2833.3450924227427,2596.178014679188,1482.019961137649,2826.730219454224,1687.5425108480424,1684.3296497276729
288,1659.7055608188,2006.2860338051016,2006.9726191257173,2006.9726191257173,1658.926550605223,922.5198231716628,1805.2845339234166,1069.5300473597804,1066.6279048854658
73,375.4473129734855,460.96026138471575,402.44875427426757,402.44875427426757,394.1079977990164,206.93708527259196,427.6876788797724,255.25471222373315,254.30903443965892
28,171.63626457283203,230.0802913524993,202.22664418898484,202.22664418898484,159.02582300170374,103.63633953189512,174.53712103287404,139.29773594695934,139.06202166124504
235,1351.4107814500542,1642.903023631894,1461.6931680335638,1461.6931680335638,1250.1024105688514,743.2172404019572,1356.5499152478114,861.4507744822619,858.6030072011126
382,2333.7966815848927,2996.2638138944353,2580.4082974741164,2580.4082974741164,2313.1692375011435,1376.1687296495172,2508.4217596798594,1568.931709519876,1563.3145486344035
144,864.762284502548,1089.145127390087,1013.1810334178426,1013.1810334178426,885.1886857567335,493.53068030331605,962.2963695687833,589.2812712101218,586.6229378767886
455,2592.0733200633726,3343.4420516051728,2985.4227426587518,2985.4227426587518,2790.8058429427037,1527.3669539512773,3035.589610722472,1736.617696097973,1732.7345882971406
405,2328.2421549371834,2921.597450930996,2701.358458467664,2701.358458467664,2304.818189174463,1346.0887248752742,2507.0421589390567,1533.5973801541554,1527.1664303977198
395,2485.7599838889023,3355.9073267755875,2800.977348976809,2800.977348976809,2511.926478240203,1537.1594936973675,2730.4484159290214,1750.4821022625852,1744.6690696918429
217,1187.5897904686642,1594.1482663497252,1381.6186905049387,1381.6186905049387,1197.6364616817323,729.5879055210771,1304.3388116399162,846.8929514390595,845.6844271437576
445,2769.1154603058435,3490.2607843591823,3086.046274672089,3086.046274672089,2666.4648900035922,1595.5557955318293,2890.7873337058218,1814.219876451371,1806.4168495950078
221,1320.524153699364,1535.4270918462364,1512.1378440668152,1512.1378440668152,1253.3972799720193,701.0874058309686,1355.2038129790665,815.481171063084,812.4863198179931
438,2526.907784875505,3323.4693352757117,2942.9185353175553,2942.9185353175553,2528.5133636365013,1531.5380601952616,2743.5079476338797,1739.442334669017,1733.2155269412767
