tarefas,FIFO,RR,EDF,PRIORIDADE P, PRIORIDADE NP,SJF,UG,VF MED INTERVALO,VF MIN
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.03045906955818,3.947960220234156,3.1979602202341577,3.1979602202341577,10.03045906955818,1.397960220234154,11.830459069558184,2.297960220234156,2.297960220234156
3,4.743260536411413,6.450141179209543,10.192271997342358,10.192271997342358,7.114325945477819,3.750141179209544,8.01432594547782,4.250141179209543,4.250141179209543
4,17.88421934123471,22.616708341932778,15.848241918094837,15.848241918094837,23.737990062693925,9.11670834193278,27.03799006269392,11.891708341932777,11.891708341932777
5,60.62991532629218,98.2961349516062,67.75366085683532,67.75366085683532,56.55928968219001,42.31613495160626,63.33928968218997,56.056134951606225,56.056134951606225
6,27.87982051691992,40.778259779298345,40.820079071454735,40.820079071454735,31.891890933160663,18.707602829763047,35.34189093316065,27.307602829763038,27.307602829763038
7,33.2019402012251,49.20559992169211,74.30934923289158,74.30934923289158,38.25527837874902,22.965053091997856,41.76956409303471,30.807910234854976,30.807910234854976
8,45.413212881807084,59.65474474554907,72.41581112681489,72.41581112681489,66.49560431265476,26.80063785626641,72.96891418840985,36.250637856266394,36.250637856266394
9,35.202105609858094,52.93480689237044,46.58379236111579,46.58379236111579,38.56982217809726,25.30147355903713,42.32252635663333,41.20147355903711,41.20147355903711
10,31.307224088469507,33.01602592113146,28.238172981923213,28.238172981923213,42.547911308353534,14.302446913686248,47.047911308353505,20.992446913686237,20.992446913686237
11,26.942720885323283,39.69957886935955,40.5868040640574,40.5868040640574,35.79926022897552,20.39467367031855,41.86115478654213,28.794673670318545,28.794673670318545
12,62.72063144651103,95.87728449199561,65.78512480260397,65.78512480260397,57.97292938984862,44.28421863098212,63.55625571189976,66.54361395249177,66.54361395249177
13,49.3736347423056,51.00542040138105,63.43684494925958,63.43684494925958,63.24085214281964,23.949315600448173,70.4586276920199,37.495469446602,37.495469446602
14,77.84152120407148,72.59932302633095,74.39681247158421,74.39681247158421,69.75262193190365,31.894647247756513,74.98541708217098,48.46036352158888,48.46036352158888
15,71.40749065658238,118.42415532132782,120.72038815404159,120.72038815404159,88.9776423316897,54.85197556430312,98.38583002732008,86.33197556430315,86.33197556430315
16,119.7881387209661,157.48696995308575,126.13968263137721,126.13968263137721,120.16702848845934,70.39336742883492,133.47239592289827,107.93086742883497,107.93086742883497
17,105.27783353273014,117.7238081214498,104.24173257062873,104.24173257062873,86.7414519776411,54.04186473430815,94.42276420015389,82.3124529696023,82.3124529696023
18,113.250030944282,122.02500984330956,117.867614038768,117.867614038768,99.69804713684044,52.86897076817007,111.30524717898795,79.20230410150342,79.20230410150342
19,124.49608205204655,167.75067769410757,125.65314411674396,125.65314411674396,124.30472174286163,74.97924039737548,136.2907132977068,110.64766145000715,110.64766145000715
20,88.71320099843567,107.62056040295064,122.84144622502022,122.84144622502022,120.95910130227603,50.5274213720959,131.73508044509424,71.53040938825612,71.53040938825612
21,103.04249187417273,140.9532102614989,111.39010598286434,111.39010598286434,98.57648491112097,65.11305327511802,108.52958273732585,88.14162470368949,87.82733898940376
22,134.1656755375417,152.7597901669137,144.07648841338343,144.07648841338343,109.05949245547522,67.97617091133564,119.10604680708566,99.148898184063,98.398898184063
23,154.94089403721196,207.20847176828414,186.29459403814505,186.29459403814505,159.2761076922314,93.51811326456215,169.8039186193233,135.45021261303643,135.45021261303643
24,159.76669008185962,218.4045167831541,197.38508894458948,197.38508894458948,165.93165197081845,99.0094927577049,182.45581487032072,138.30276921426852,138.27199275770508
25,230.76778690311718,261.73181801291213,243.04626957375348,243.04626957375348,196.27148282419384,116.34948669839643,212.5430088008901,172.47910354267412,171.15910354267413
26,125.43970247748913,152.85684741443242,137.59021959066027,137.59021959066027,131.37427099606936,70.55771265360498,141.5161762651298,94.75386649975891,94.24617419206659
27,93.43897012780687,140.92079408194297,146.61969412838653,146.61969412838653,105.38223604581516,68.86534668171382,115.29042299067666,94.09868001504721,93.97645779282499
28,115.97365264632344,124.63267817912889,107.51158814525955,107.51158814525955,121.71397332657726,52.92645167226902,133.75931957930194,75.69430881512619,75.69430881512619
29,184.96896766867127,254.4365073532859,207.2269386772911,207.2269386772911,161.67493604053203,114.88671879002594,175.65777769683135,157.53009360893031,157.75767981582686
30,162.30350923457445,212.46326927993553,217.6327067571844,217.6327067571844,161.00885798059522,94.87887806753272,175.13701043968916,131.1439489116466,131.3639489116466
31,190.4032658131404,274.5765742434151,209.07574830137085,209.07574830137085,206.71858787557682,125.42923335336555,223.41375572837916,168.97791093522522,170.36178190296718
32,196.04254524765554,262.3884799784605,242.3623521034317,242.3623521034317,203.82063786750015,120.47445744308135,224.67091885527117,164.38344801374893,165.41469801374893
33,198.19603755838327,218.89355983610807,170.72570788308053,170.72570788308053,180.5555857945071,99.62815298029491,193.71773735868928,131.83724388938597,131.33724388938595
34,215.2301577648401,299.46030330288335,235.14166591549633,235.14166591549633,213.1045827197395,139.35001262344406,233.5458840788821,186.49413027050315,186.688247917562
35,196.35535867538817,238.3512541443976,252.55115160595972,252.55115160595972,171.73674230815655,111.14733870806242,187.74856202933725,149.76162442234835,149.76162442234835
36,178.27883027375586,235.7262633008882,188.94686931535387,188.94686931535387,172.6643032825331,108.84033497494868,189.06764406454505,142.59033497494886,142.4986683082822
37,220.65756590233192,315.1739542137972,241.25691115172157,241.25691115172157,215.46830907742938,142.32839913806052,236.91611687332835,186.30565472736214,186.3056547273621
38,309.7699238672166,411.4368216379503,339.76650867348576,339.76650867348576,301.7168806284617,185.32097570118248,332.76275513927146,254.82564035964683,254.73879825438368
39,243.51007751744575,271.1628312892715,246.82457065145596,246.82457065145596,210.05536896616408,122.17028544916563,226.74537653104454,161.13110702235923,160.7080300992823
40,251.86185926096942,344.68260756823145,282.3982167299904,282.3982167299904,230.07670412198127,158.82185073117608,250.66657512027177,208.80248070472243,207.81248070472242
41,227.07716939467593,289.9780309941332,260.3126726669026,260.3126726669026,235.01716748762783,132.94712182703122,255.8085745158701,174.41297548556804,174.17151207093391
42,224.1976132549381,304.1246803713223,269.5085714862759,269.5085714862759,210.01045277922535,138.3786525141329,229.08321279802593,179.5215096569903,178.18579537127601
43,206.59885484917947,280.08224073888573,286.4009925401331,286.4009925401331,205.5275743867006,130.9180140807513,222.34615433163754,167.43314594425897,168.2005878047241
44,292.5818078597604,386.1302116433379,348.5286610208629,348.5286610208629,317.98759758971715,176.73683278737974,345.9172512762188,236.60728733283452,235.38300503112248
45,284.505906835298,385.613849336666,331.5109225421478,331.5109225421478,255.01242748251113,171.22772363988753,278.68169350869795,228.57551020788415,229.1059019592977
46,266.5749453935883,358.04992707680833,346.4478085157839,346.4478085157839,269.22451382452965,163.78286248521766,294.787169898284,218.9241668330439,219.06764509391348
47,220.83237978607002,307.1269293338779,256.4935735895589,256.4935735895589,245.2287736526677,143.58261102087656,269.81386532512386,185.45495144640878,185.6665000028632
48,259.9890346473246,369.5280966459471,307.8471731684662,307.8471731684662,254.8302291757678,173.63749061286566,276.9428167817875,219.49753685243422,218.46628685243422
49,267.3561528323476,332.63059633623214,340.86282435235,340.86282435235,295.35725005567167,155.25311503587886,319.91360722593765,199.23678850526687,199.03474768894034
50,301.6879700429209,398.31421301894704,316.0399170768723,316.0399170768723,334.073460266118,182.53722954594912,363.3650149832553,236.83957304426292,236.6023414904373
