tarefas,FIFO,RR,EDF,PRIORIDADE P, PRIORIDADE NP,SJF,UG,VF MED INTERVALO,VF MIN
204,3083.634282854596,638.2099814467372,3428.8651065645204,3428.8651065645204,3137.629924513572,2098.410527018187,3419.6029395300725,2062.7855390057325,2068.5083430184213
17,214.50616057146615,50.106020171127994,199.4777758243679,199.4777758243679,199.5622031228963,127.59102137632095,216.3602482428662,65.28385333899413,65.28385333899413
468,7392.550450079639,1468.6371638859334,8351.537376645385,8351.537376645385,7235.067751603989,5044.776415312844,7885.009891551058,5191.4667522955915,5193.277625812661
76,1235.1898729306454,231.88705050911707,1396.511511756373,1396.511511756373,1212.160615442477,852.9738453240188,1322.296786521745,724.6476823703962,726.4023363100878
50,767.5114005863974,154.09341328890065,910.1000617825687,910.1000617825687,782.8495321229112,515.1332647910378,847.3205473984802,387.591104363011,387.54878102461953
134,2054.4346771076503,427.0726827229343,2085.965046521852,2085.965046521852,1919.355179849825,1308.3304910698212,2095.7911995453483,1227.7450077277651,1229.9626399555298
349,5363.655832729552,1071.8810773440002,6088.4472061745255,6088.4472061745255,5245.086683554736,3630.0662331644735,5721.699837992992,3685.544017572846,3691.5626165957815
57,866.1452135469328,175.07562005843468,976.8496106586122,976.8496106586122,869.6861381166575,616.7242536667791,942.9476148084754,511.8455667583427,512.3040778814235
98,1644.1246282065795,314.5822101129324,1767.3073498611475,1767.3073498611475,1516.9367355519296,1125.9761035478375,1653.8540950491038,1018.8735174047575,1021.623853566315
456,6627.599822360723,1408.7200938464557,7916.10166330661,7916.10166330661,6860.859666886192,4611.7431380643275,7490.890716228437,4737.542026530592,4745.548503914697
255,3964.6569665789134,786.277472830554,4584.757148352013,4584.757148352013,4065.798131522071,2811.788792384173,4432.475211371402,2812.2935913246447,2813.7605905155942
20,271.6473437800507,62.57192195494272,310.57015756064914,310.57015756064914,268.1778169998052,194.93783782413163,296.4602830914806,115.34441317626909,114.72357283504307
410,6177.776421996628,1297.29482971642,6936.129371047671,6936.129371047671,6234.4522295768065,4228.285260009827,6805.569930954872,4330.103767305901,4327.854989213136
359,5281.995793143338,1119.7108833227028,5991.516925693794,5991.516925693794,5137.734020819239,3538.788398259366,5613.135506278416,3593.5752686294636,3599.694082266006
447,6499.764769093264,1378.3321474036009,7548.403951540081,7548.403951540081,6554.715499809788,4386.054445827665,7151.394059187439,4502.914395672349,4510.8980663279835
425,6494.905342355912,1326.7556915511461,7458.029700068863,7458.029700068863,6384.618929755438,4492.249805140358,6949.305524386893,4615.326517216662,4620.659642044044
396,6122.814243397773,1232.070654488066,7046.462302615351,7046.462302615351,5893.954134319878,4145.667270891411,6406.994341103792,4242.905231278251,4244.175075007213
208,3087.2110780354187,651.3326849878238,3541.4074304661053,3541.4074304661053,3155.2086969493516,2088.2991092496945,3443.3194058957165,2045.680478021265,2048.569269756468
391,5815.215661113981,1219.6019479898034,6461.120172823105,6461.120172823105,5623.9078276093815,3802.07787001547,6130.94195285341,3883.6577093170013,3895.0981101827874
180,2652.855086659847,567.8027414732783,3140.2570206697137,3140.2570206697137,2775.941918335748,1846.6712123521186,3020.796023031489,1795.9372781238476,1797.0699025344777
158,2395.567461517436,502.52231776443597,2733.563231009752,2733.563231009752,2170.4471827070415,1608.0907882394163,2369.19979632198,1551.6302004850927,1557.3658443647141
224,3516.5549361696126,699.1672689922258,4059.5277321204553,4059.5277321204553,3412.4184547135237,2379.2325597537097,3712.333086834816,2348.7395456682507,2351.8888938535033
118,1774.4183468846336,366.87290787980703,1943.559236751773,1943.559236751773,1709.936474071409,1190.0439246176172,1856.9913817411812,1108.1268629204978,1105.246479674351
26,354.63515267518466,80.80943045245911,461.66002278844127,461.66002278844127,322.08238671772784,236.46054007103425,357.44103588339505,135.54228434076728,135.66920741769036
116,1718.9087717276143,352.4872000606877,2111.3201870461385,2111.3201870461385,1770.1406234457158,1190.5745737684783,1932.4623775144498,1093.528934983239,1093.5078777739748
369,5321.937931415342,1150.1911689725669,6100.711195928746,6100.711195928746,5381.2639457893,3628.1974696310403,5867.2308335005455,3696.7251428000554,3700.7463650637683
263,3935.8842068244385,813.2560511948664,4370.956073347175,4370.956073347175,3869.3369992636876,2513.0872789061414,4211.275789556137,2500.9749564627846,2507.922525600604
141,2153.4688582651556,433.8734221314094,2265.588907832622,2265.588907832622,2099.6043178096907,1334.70357340771,2279.676469596564,1254.4225404023807,1256.7163430250664
304,4433.520240303017,927.5717125066853,5301.5784395680785,5301.5784395680785,4430.543265636314,3002.722823286383,4834.195225783955,3015.2327964696633,3019.6767449212884
