tarefas,FIFO,RR,EDF,PRIORIDADE P, PRIORIDADE NP,SJF,UG,VF MED INTERVALO,VF MIN
1,0.6428619720352149,0.6428619720352149,0.6428619720352149,0.6428619720352149,0.6428619720352149,0.6428619720352149,0.6428619720352149,0.6428619720352149,0.6428619720352149
2,21.458878359350514,15.37637951002649,14.626379510026492,14.626379510026492,21.458878359350514,12.826379510026488,23.25887835935052,13.72637951002649,13.72637951002649
3,10.864467124687364,12.571347767485493,16.31347858561831,16.31347858561831,13.23553253375377,9.871347767485494,14.135532533753768,10.371347767485494,10.371347767485494
4,30.3014190036229,35.03390800432096,28.265441580483024,28.265441580483024,36.15518972508211,21.533908004320967,39.45518972508211,24.308908004320962,24.308908004320962
5,86.54378470854726,124.21000433386128,93.66753023909041,93.66753023909041,82.4731590644451,68.23000433386134,89.25315906444506,81.97000433386131,81.97000433386131
6,39.84912502850678,52.7475642908852,52.7893835830416,52.7893835830416,43.86119544474752,30.676907341349903,47.31119544474751,39.2769073413499,39.2769073413499
7,47.698741397334246,63.70240111780125,88.80615042900072,88.80615042900072,52.752079574858165,37.461854288107006,56.26636528914385,45.30471143096412,45.30471143096412
8,60.745617511174494,74.98714937491647,87.74821575618229,87.74821575618229,81.82800894202217,42.133042485633815,88.30131881777726,51.583042485633804,51.583042485633804
9,45.3405055559914,63.073206838503744,56.7221923072491,56.7221923072491,48.708222124230566,35.43987350517044,52.46092630276664,51.33987350517042,51.33987350517042
10,39.7553637065359,41.46416553919784,36.686312599989606,36.686312599989606,50.996050926419926,22.75058653175264,55.4960509264199,29.440586531752626,29.440586531752626
11,35.15217371821993,47.90903170225619,48.79625689695404,48.79625689695404,44.00871306187217,28.6041265032152,50.07060761943877,37.00412650321519,37.00412650321519
12,74.92863210713402,108.08528515261861,77.99312546322697,77.99312546322697,70.18093005047162,56.492219291605124,75.76425637252275,78.75161461311477,78.75161461311477
13,57.93336231523975,59.56514797431521,71.99657252219373,71.99657252219373,71.80057971575378,32.509043173382324,79.01835526495405,46.05519701953615,46.05519701953615
14,87.4789602418191,82.23676206407856,84.03425150933182,84.03425150933182,79.39006096965126,41.53208628550412,84.62285611991858,58.09780255933649,58.09780255933649
15,84.65607922243015,131.67274388717559,133.96897671988935,133.96897671988935,102.22623089753748,68.10056413015089,111.63441859316785,99.58056413015092,99.58056413015092
16,134.49990472834423,172.1987359604639,140.85144863875536,140.85144863875536,134.8787944958375,85.10513343621307,148.18416193027642,122.64263343621312,122.64263343621312
17,117.61333206583194,130.05930665455162,116.57723110373053,116.57723110373053,99.0769505107429,66.37736326740996,106.7582627332557,94.6479515027041,94.6479515027041
18,125.19894450342304,133.9739234024506,129.81652759790904,129.81652759790904,111.64696069598148,64.8178843273111,123.25416073812897,91.15121766064445,91.15121766064445
19,137.56374630991692,180.81834195197794,138.72080837461434,138.72080837461434,137.372386000732,88.04690465524585,149.35837755557716,123.71532570787751,123.71532570787751
20,98.56458619845243,117.47194560296741,132.692831425037,132.692831425037,130.8104865022928,60.37880657211268,141.58646564511102,81.38179458827291,81.38179458827291
21,112.79402451071097,150.70474289803713,121.14163861940258,121.14163861940258,108.32801754765921,74.86458591165626,118.2811153738641,97.89315734022772,97.578871625942
22,145.74561097267545,164.33972560204748,155.6564238485172,155.6564238485172,120.63942789060899,79.55610634646942,130.68598224221944,110.72883361919679,109.97883361919679
23,168.810461694247,221.07803942531922,200.16416169518013,200.16416169518013,173.14567534926644,107.38768092159721,183.67348627635835,149.3197802700715,149.3197802700715
24,173.14147296618862,231.7792996674831,210.75987182891848,210.75987182891848,179.30643485514747,112.38427564203391,195.83059775464972,151.6775520985975,151.64677564203407
25,247.45793898933437,278.4219700991293,259.73642165997063,259.73642165997063,212.96163491041102,133.0396387846136,229.23316088710726,189.1692556288913,187.84925562889129
26,134.81445273243799,162.23159766938127,146.96496984560912,146.96496984560912,140.7490212510182,79.93246290855383,150.89092652007864,104.12861675470775,103.62092444701544
27,103.01533897945455,150.49716293359066,156.1960629800342,156.1960629800342,114.95860489746285,78.44171553336149,124.86679184232433,103.67504886669488,103.55282664447267
28,124.4351379475556,133.09416348036103,115.97307344649172,115.97307344649172,130.1754586278094,61.387936973501176,142.2208048805341,84.15579411635836,84.15579411635836
29,197.82365512549876,267.2911948101133,220.08162613411855,220.08162613411855,174.52962349735952,127.74140624685342,188.51246515365884,170.38478106575778,170.61236727265435
30,173.67507054884024,223.83483059420132,229.00426807145016,229.00426807145016,172.380419294861,106.25043938179851,186.50857175395495,142.51551022591238,142.73551022591238
31,203.35977108533527,287.5330795156099,222.03225357356573,222.03225357356573,219.6750931477717,138.38573862556044,236.370261000574,181.93441620742013,183.31828717516208
32,208.96567750502692,275.3116122358319,255.28548436080308,255.28548436080308,216.74377012487156,133.39758970045273,237.59405111264255,177.3065802711203,178.3378302711203
33,208.94507975075874,229.64260202848357,181.47475007545603,181.47475007545603,191.30462798688262,110.3771951726704,204.46677955106477,142.58628608176147,142.08628608176144
34,228.6570574837521,312.88720302179536,248.5685656344083,248.5685656344083,226.53148243865152,152.77691234235607,246.9727837977941,199.92102998941516,200.115147636474
35,207.73011640296522,249.72601187197463,263.9259093335367,263.9259093335367,183.11150003573357,122.52209643563947,199.12331975691433,161.1363821499254,161.1363821499254
36,188.62357202656878,246.0710050537011,199.2916110681668,199.2916110681668,183.00904503534602,119.1850767277616,199.41238581735794,152.93507672776178,152.84341006109514
37,233.1212153438616,327.63760365532687,253.72056059325124,253.72056059325124,227.93195851895905,154.7920485795902,249.37976631485805,198.7693041688918,198.76930416889178
38,325.95259253900394,427.61949030973767,355.94917734527314,355.94917734527314,317.8995493002491,201.50364437296986,348.94542381105884,271.00830903143424,270.9214669261711
39,255.02279802849864,282.6755518003244,258.3372911625089,258.3372911625089,221.56808947721694,133.68300596021854,238.2580970420975,172.64382753341215,172.22075061033522
40,265.0705942169938,357.89134252425595,295.6069516860149,295.6069516860149,243.2854390780057,172.03058568720056,263.8753100762962,222.0112156607469,221.0212156607469
41,238.54999111570578,301.450852715163,271.78549438793243,271.78549438793243,246.48998920865765,144.41994354806104,267.2813962368999,185.88579720659789,185.64433379196376
42,235.17985983746522,315.10692695384944,280.49081806880304,280.49081806880304,220.99269936175244,149.36089909666003,240.06545938055305,190.50375623951743,189.16804195380314
43,217.00137078645264,290.48475667615884,296.80350847740624,296.80350847740624,215.9300903239738,141.32053001802444,232.7486702689107,177.83566188153213,178.60310374199727
44,306.5086360890991,400.0570398726766,362.4554892502016,362.4554892502016,331.9144258190559,190.6636610167185,359.84407950555754,250.53411556217324,249.30983326046123
45,297.6927857291089,398.8007282304768,344.6978014359587,344.6978014359587,268.199306376322,184.41460253369843,291.8685724025088,241.76238910169502,242.29278085310858
46,279.36170792973525,370.83668961295535,359.23457105193086,359.23457105193086,282.0112763606766,176.5696250213646,307.5739324344309,231.71092936919086,231.85440763006045
47,231.7071245693447,318.00167411715256,267.3683183728336,267.3683183728336,256.10351843594236,154.4573558041512,280.68861010839856,196.32969622968344,196.54124478613784
48,271.4645560649402,381.0036180635627,319.3226945860818,319.3226945860818,266.3057505933834,185.11301203048126,288.4183381994031,230.97305827004982,229.94180827004982
49,278.7151539681662,343.9895974720508,352.2218254881686,352.2218254881686,306.7162511914902,166.6121161716974,331.2726083617562,210.59578964108542,210.39374882475892
50,314.2808892846433,410.90713226066947,328.6328363185947,328.6328363185947,346.6663795078404,195.13014878767154,375.95793422497775,249.43249228598532,249.19526073215974
51,351.53101025297,470.13602762272683,404.3465220862949,404.3465220862949,367.35476223766204,222.53099713638025,400.05049799075283,285.6910149637206,284.6557208460735
52,291.25803007100484,341.2147017691543,317.3179171072128,317.3179171072128,289.02123885951863,158.84961735177347,313.59059657683133,200.53678515632387,200.15601592555464
53,330.9809878502351,394.1098115513934,362.2676204370591,362.2676204370591,326.1812494088322,184.5298911725543,349.8342737731561,235.34785881703834,233.85351919439685
